Row (ID),activity,costs,geometry,molde_area,case,molde,complexity,material_type,cavities,subcontracting,org:resource,start_timestamp,time:timestamp
0,register request,50.5,Pete,Pete,3,3,Pete,Pete,2,register request,Pete,2010-12-30 14:32:00+01:00,2010-12-30 14:32:00+01:00
1,examine casually,400,Mike,Mike,3,3,Mike,Mike,3,examine casually,Mike,2010-12-30 15:06:00+01:00,2010-12-30 15:06:00+01:00
2,check ticket,100,Ellen,Ellen,3,3,Ellen,Ellen,4,check ticket,Ellen,2010-12-30 16:34:00+01:00,2010-12-30 16:34:00+01:00
3,decide,200,Sara,Sara,3,3,Sara,Sara,5,decide,Sara,2011-01-06 09:18:00+01:00,2011-01-06 09:18:00+01:00
4,reinitiate request,200,Sara,Sara,3,3,Sara,Sara,57,reinitiate request,Sara,2011-01-06 12:18:00+01:00,2011-01-06 12:18:00+01:00
5,examine thoroughly,400.6,Sean,Sean,3,3,Sean,Sean,8,examine thoroughly,Sean,2011-01-06 13:06:00+01:00,2011-01-06 13:06:00+01:00
6,check ticket,100,Pete,Pete,3,3,Pete,Pete,9,check ticket,Pete,2011-01-08 11:43:00+01:00,2011-01-08 11:43:00+01:00
7,decide,200,Sara,Sara,3,3,Sara,Sara,10,decide,Sara,2011-01-09 09:55:00+01:00,2011-01-09 09:55:00+01:00
8,pay compensation,200,Ellen,Ellen,3,3,Ellen,Ellen,1,pay compensation,Ellen,2011-01-15 10:45:00+01:00,2011-01-15 10:45:00+01:00
9,register request,50,Mike,Mike,2,2,Mike,Mike,2,register request,Mike,2010-12-30 11:32:00+01:00,2010-12-30 11:32:00+01:00
10,check ticket,100,Mike,Mike,2,2,Mike,Mike,24,check ticket,Mike,2010-12-30 12:12:00+01:00,2010-12-30 12:12:00+01:00
11,examine casually,400,Sean,Sean,2,2,Sean,Sean,5,examine casually,Sean,2010-12-30 14:16:00+01:00,2010-12-30 14:16:00+01:00
12,decide,200,Sara,Sara,2,2,Sara,Sara,6,decide,Sara,2011-01-05 11:22:00+01:00,2011-01-05 11:22:00+01:00
13,pay compensation,200,Ellen,Ellen,2,2,Ellen,Ellen,6,pay compensation,Ellen,2011-01-08 12:05:00+01:00,2011-01-08 12:05:00+01:00
14,register request,50,Pete,Pete,1,1,Pete,Pete,6,register request,Pete,2010-12-30 11:02:00+01:00,2010-12-30 11:02:00+01:00
15,examine thoroughly,400,Sue,Sue,1,1,Sue,Sue,6,examine thoroughly,Sue,2010-12-31 10:06:00+01:00,2010-12-31 10:06:00+01:00
16,check ticket,100,Mike,Mike,1,1,Mike,Mike,7,check ticket,Mike,2011-01-05 15:12:00+01:00,2011-01-05 15:12:00+01:00
17,decide,200,Sara,Sara,1,1,Sara,Sara,67,decide,Sara,2011-01-06 11:18:00+01:00,2011-01-06 11:18:00+01:00
18,reject request,200,Pete,Pete,1,1,Pete,Pete,7,reject request,Pete,2011-01-07 14:24:00+01:00,2011-01-07 14:24:00+01:00
19,register request,50,Mike,Mike,6,6,Mike,Mike,7,register request,Mike,2011-01-06 15:02:00+01:00,2011-01-06 15:02:00+01:00
20,examine casually,400,Ellen,Ellen,6,6,Ellen,Ellen,68,examine casually,Ellen,2011-01-06 16:06:00+01:00,2011-01-06 16:06:00+01:00
21,check ticket,100,Mike,Mike,6,6,Mike,Mike,8,check ticket,Mike,2011-01-07 16:22:00+01:00,2011-01-07 16:22:00+01:00
22,decide,200,Sara,Sara,6,6,Sara,Sara,78,decide,Sara,2011-01-07 16:52:00+01:00,2011-01-07 16:52:00+01:00
23,pay compensation,200,Mike,Mike,6,6,Mike,Mike,9,pay compensation,Mike,2011-01-16 11:47:00+01:00,2011-01-16 11:47:00+01:00
24,register request,50,Ellen,Ellen,5,5,Ellen,Ellen,9,register request,Ellen,2011-01-06 09:02:00+01:00,2011-01-06 09:02:00+01:00
25,examine casually,400,Mike,Mike,5,5,Mike,Mike,89,examine casually,Mike,2011-01-07 10:16:00+01:00,2011-01-07 10:16:00+01:00
26,check ticket,100,Pete,Pete,5,5,Pete,Pete,2,check ticket,Pete,2011-01-08 11:22:00+01:00,2011-01-08 11:22:00+01:00
27,decide,200,Sara,Sara,5,5,Sara,Sara,2,decide,Sara,2011-01-10 13:28:00+01:00,2011-01-10 13:28:00+01:00
28,reinitiate request,200,Sara,Sara,5,5,Sara,Sara,12,reinitiate request,Sara,2011-01-11 16:18:00+01:00,2011-01-11 16:18:00+01:00
29,check ticket,100,Ellen,Ellen,5,5,Ellen,Ellen,3,check ticket,Ellen,2011-01-14 14:33:00+01:00,2011-01-14 14:33:00+01:00
30,examine casually,400,Mike,Mike,5,5,Mike,Mike,35,examine casually,Mike,2011-01-16 15:50:00+01:00,2011-01-16 15:50:00+01:00
31,decide,200,Sara,Sara,5,5,Sara,Sara,5,decide,Sara,2011-01-19 11:18:00+01:00,2011-01-19 11:18:00+01:00
32,reinitiate request,200,Sara,Sara,5,5,Sara,Sara,6,reinitiate request,Sara,2011-01-20 12:48:00+01:00,2011-01-20 12:48:00+01:00
33,examine casually,400,Sue,Sue,5,5,Sue,Sue,657,examine casually,Sue,2011-01-21 09:06:00+01:00,2011-01-21 09:06:00+01:00
34,check ticket,100,Pete,Pete,5,5,Pete,Pete,8,check ticket,Pete,2011-01-21 11:34:00+01:00,2011-01-21 11:34:00+01:00
35,decide,200,Sara,Sara,5,5,Sara,Sara,79,decide,Sara,2011-01-23 13:12:00+01:00,2011-01-23 13:12:00+01:00
36,reject request,200,Mike,Mike,5,5,Mike,Mike,9,reject request,Mike,2011-01-24 14:56:00+01:00,2011-01-24 14:56:00+01:00
37,register request,50,Pete,Pete,4,4,Pete,Pete,99,register request,Pete,2011-01-06 15:02:00+01:00,2011-01-06 15:02:00+01:00
38,check ticket,100,Mike,Mike,4,4,Mike,Mike,10,check ticket,Mike,2011-01-07 12:06:00+01:00,2011-01-07 12:06:00+01:00
39,examine thoroughly,400,Sean,Sean,4,4,Sean,Sean,9,examine thoroughly,Sean,2011-01-08 14:43:00+01:00,2011-01-08 14:43:00+01:00
40,decide,200,Sara,Sara,4,4,Sara,Sara,901,decide,Sara,2011-01-09 12:02:00+01:00,2011-01-09 12:02:00+01:00
41,reject request,200,Ellen,Ellen,4,4,Ellen,Ellen,10,reject request,Ellen,2011-01-12 15:44:00+01:00,2011-01-12 15:44:00+01:00
